vote_event:id,voter:id,option
9-14,"Chval, Jiøí",absent
9-15,"Chval, Jiøí",absent
9-16,"Chval, Jiøí",absent
9-17,"Chval, Jiøí",absent
9-18,"Chval, Jiøí",absent
9-19,"Chval, Jiøí",absent
9-20,"Chval, Jiøí",absent
9-21,"Chval, Jiøí",absent
9-22,"Chval, Jiøí",absent
9-23,"Chval, Jiøí",absent
9-24,"Chval, Jiøí",absent
9-25,"Chval, Jiøí",absent
9-26,"Chval, Jiøí",absent
9-27,"Chval, Jiøí",absent
9-28,"Chval, Jiøí",absent
9-29,"Chval, Jiøí",absent
9-30,"Chval, Jiøí",absent
9-31,"Chval, Jiøí",absent
9-32,"Chval, Jiøí",absent
9-33,"Chval, Jiøí",absent
9-34,"Chval, Jiøí",absent
9-35,"Chval, Jiøí",absent
9-36,"Chval, Jiøí",absent
9-37,"Chval, Jiøí",absent
9-38,"Chval, Jiøí",absent
10-1,"Chval, Jiøí",absent
10-2,"Chval, Jiøí",absent
10-3,"Chval, Jiøí",absent
10-4,"Chval, Jiøí",for
10-5,"Chval, Jiøí",for
10-6,"Chval, Jiøí",for
10-7,"Chval, Jiøí",for
10-8,"Chval, Jiøí",abstain
10-9,"Chval, Jiøí",abstain
10-10,"Chval, Jiøí",for
10-11,"Chval, Jiøí",for
10-12,"Chval, Jiøí",for
10-13,"Chval, Jiøí",for
10-14,"Chval, Jiøí",for
10-15,"Chval, Jiøí",for
10-16,"Chval, Jiøí",for
11-1,"Chval, Jiøí",absent
11-2,"Chval, Jiøí",absent
11-3,"Chval, Jiøí",absent
11-4,"Chval, Jiøí",absent
11-5,"Chval, Jiøí",absent
11-6,"Chval, Jiøí",absent
11-7,"Chval, Jiøí",absent
11-8,"Chval, Jiøí",absent
11-9,"Chval, Jiøí",absent
11-10,"Chval, Jiøí",absent
11-11,"Chval, Jiøí",absent
11-12,"Chval, Jiøí",absent
11-13,"Chval, Jiøí",absent
11-14,"Chval, Jiøí",absent
11-15,"Chval, Jiøí",absent
11-16,"Chval, Jiøí",absent
8-1,"Kafka, Vladimír",for
8-2,"Kafka, Vladimír",for
8-3,"Kafka, Vladimír",for
8-4,"Kafka, Vladimír",for
8-5,"Kafka, Vladimír",for
8-6,"Kafka, Vladimír",for
8-7,"Kafka, Vladimír",for
8-8,"Kafka, Vladimír",for
8-9,"Kafka, Vladimír",for
8-10,"Kafka, Vladimír",for
8-11,"Kafka, Vladimír",abstain
8-12,"Kafka, Vladimír",for
8-13,"Kafka, Vladimír",for
8-14,"Kafka, Vladimír",abstain
8-15,"Kafka, Vladimír",for
8-16,"Kafka, Vladimír",for
8-17,"Kafka, Vladimír",for
8-18,"Kafka, Vladimír",for
8-19,"Kafka, Vladimír",for
8-20,"Kafka, Vladimír",for
8-21,"Kafka, Vladimír",for
8-22,"Kafka, Vladimír",for
8-23,"Kafka, Vladimír",for
8-24,"Kafka, Vladimír",for
8-25,"Kafka, Vladimír",for
